Paises,tipo_de_processo,Utilização_final,Numero_de_plantas,Capacidade_de_produção_T/ano,Produção_T/ano,Ano,Total,Cluster
United Kingdom,Reforming,Ammonia,1,4793918,3547499,2023,8341417,0
United Kingdom,Reforming,Other chemicals,4,5459029,4066976,2023,9526005,0
United Kingdom,Reforming,Refining,7,36957549,28438212,2023,65395761,3
United Kingdom,Reforming,Unknown,7,55541,41378,2023,96919,3
United Kingdom,Reforming,Other chemicals,5,9309479,6935562,2023,16245041,0
Austria,Water electrolysis,Blending in natural gas pipelines,1,35755,24313,2023,60068,0
Austria,Water electrolysis,Industrial heat,2,164473,111842,2023,276315,0
Austria,Water electrolysis,Mobility,1,5363,3647,2023,9010,0
Austria,Water electrolysis,Unknown,2,26816,18235,2023,45051,0
Austria,Water electrolysis,Power generation,1,2717,1848,2023,4565,0
Belgium,Water electrolysis,Mobility,4,34182,23244,2023,57426,0
Bulgaria,Water electrolysis,Unknown,1,1788,1216,2023,3004,0
Czechia,Water electrolysis,Other chemicals,1,3576,2431,2023,6007,0
Denmark,Water electrolysis,E-fuels,1,4469,3039,2023,7508,0
Denmark,Water electrolysis,Methanol,2,214531,145881,2023,360412,0
Denmark,Water electrolysis,Mobility,4,78661,5349,2023,84010,0
Estonia,Water electrolysis,Other chemicals,1,2682,1824,2023,4506,0
Finland,Water electrolysis,Unknown,1,160898,109411,2023,270309,0
Finland,Water electrolysis,Other chemicals,2,14749,10029,2023,24778,0
France,Water electrolysis,Blending in natural gas pipelines,3,35755,24313,2023,60068,0
France,Water electrolysis,Mobility,14,188376,128096,2023,316472,3
France,Water electrolysis,Unknown,1,89388,60784,2023,150172,0
France,Water electrolysis,Other chemicals,1,2503,1702,2023,4205,0
France,Water electrolysis,Power generation,2,19665,13372,2023,33037,0
Germany,Water electrolysis,Blending in natural gas pipelines,5,227939,154998,2023,382937,0
Germany,Water electrolysis,E-fuels,3,152853,10394,2023,163247,0
Germany,Water electrolysis,Mobility,15,466247,317048,2023,783295,3
Germany,Water electrolysis,Unknown,3,26466,17997,2023,44463,0
Germany,Water electrolysis,Other chemicals,5,148384,100901,2023,249285,0
Germany,Water electrolysis,Power generation,5,35576,24192,2023,59768,0
Germany,Water electrolysis,Refining,2,268163,182351,2023,450514,0
Germany,Water electrolysis,Residential heat,1,17878,12157,2023,30035,0
Germany,Water electrolysis,Steel,1,12872,8753,2023,21625,0
Greece,Water electrolysis,Unknown,1,17878,12157,2023,30035,0
Hungary,Water electrolysis,Blending in natural gas pipelines,1,35755,24313,2023,60068,0
Iceland,Water electrolysis,Methanol,1,107265,7294,2023,114559,0
Iceland,Water electrolysis,Mobility,1,12514,851,2023,13365,0
Italy,Water electrolysis,Mobility,1,26816,18235,2023,45051,0
